Key,English,Japanese,SChinese,TChinese
CrackerIsSelfNone,Cracks are unrecognizable to the cracker,クラック者はクラックを認識できない,神隐者无法识别被神隐的玩家,神隱者無法識別被神隱的玩家
CrackerButtonName,Crack!!!,クラック,神隐,神隱
CamouflagerName,Camouflager,カモフラージャー,隐蔽者,隱蔽者
CamouflagerTitle1,Let's hide in the crowd.,人混みに隠れよう,隐匿于人群之中,隱匿於人群之中
CamouflagerCoolTimeSetting,Camouflage Cooltime,カモフラージュのクールタイム,隐蔽者隐蔽冷却,隐蔽者隐蔽冷却時間
CamouflagerDurationTimeSetting,Camouflage Duration,カモフラージュの持続時間,隐蔽者隐蔽持续时间,隐蔽者隐蔽持續時間
CamouflagerCamouflageArsonistSetting,Arsonists can still see mark while activating their skill,アーソニストがカモフラージュ中に塗った人がわかる,纵火犯不受隐蔽者技能影响,縱火犯不受隐蔽者技能影響
CamouflagerCamouflageDemonSetting,Demon can still see mark while activating their skill,悪魔がカモフラージュ中に呪った人がわかる,恶魔不受隐蔽者技能影响,惡魔不受隐蔽者技能影響
CamouflagerCamouflageLoversSetting,Lovers can still see mark while activating their skill,ラバーズがカモフラージュ中に相方がわかる,恋人不受隐蔽者技能影响,戀人不受隐蔽者技能影響
CamouflagerCamouflageQuarreledSetting,Quarreled can still mark while activating their skill,クラードがカモフラージュ中に相方がわかる,福音天使不受隐蔽者技能影响,冤家兄弟不受隐蔽者技能影響
CamouflagerCamouflageChangeColorSetting,Change the color of camouflage,カモフラージュ中の色を変更する,自定义隐蔽色,自定義隱蔽色
CamouflagerCamouflageColorSetting,Camouflage color,カモフラージュ中の色,隐蔽色,隱蔽色
CamouflagerButtonName,Camouflager,カモフラージュ,隐蔽,隱蔽
PavlovsdogsName,Pavlov's dogs,パブロフの犬,巴甫洛夫的狗,巴甫洛夫的狗
PavlovsownerName,Pavlov's owner,パブロフのオーナー,巴甫洛夫,巴甫洛夫
PavlovsdogsTitle1,Let us be of service.,お役に立ってみせましょう,我好想做巴甫洛夫先生的狗啊,我好想做巴甫洛夫先生的狗啊
PavlovsownerTitle1,Be my dog!,私の犬になりなさい！,狗中毒.mp3,成為我的狗吧！
PavlovsownerDescription,There are an owner and a dog.\nThe owner has the ability to nominate the dog.\nThe dog has a kill button.\nIf the dog survives and the number of non-kill-capable survivors becomes equal to or less than the number of factions， it will achieve victory.\nWhen the owner dies， the collar is removed.\nBeware of the ferocious dog.,オーナーと犬が存在します。\nオーナーは犬を指名する能力を持ちます。\n犬はキルボタンを持ちます。\n犬が生存した状態でキル能力を持たない生存者数が陣営数以下になれば勝利します。\nオーナーが死ぬと首輪が外れる。\n猛犬には気をつけなさい。,,巴甫洛夫團隊包含主人和狗，主人可以馴服他人為狗，\n狗具有擊殺能力。\n當巴甫洛夫團隊存活的人數大於等於不具有擊殺能力的倖存者人數時，巴甫洛夫團隊獲勝。\n當主人死亡時，狗會失去項圈。\n小心瘋狗咬人！
PavlovsownerCreateDogCoolTime,Side Kick Cool Time,サイドキックのクールタイム,技能冷却,技能冷却時間
PavlovsownerCreateDogLimit,Number of times a side kick can be made in one match,1試合内にサイドキックできる回数,巴甫洛夫每局游戏可以驯化狗的次数,巴甫洛夫每局遊戲可以馴服狗的次數
PavlovsownerIsTargetImpostorDeath,Self-destruct if the opponent is an Impostor,相手がインポスターだと自爆する,巴甫洛夫在尝试驯化内鬼为狗的场合自杀,巴甫洛夫在嘗試馴服內鬼為狗的場合自殺
PavlovsdogIsImpostorView,Pavlov's dog has a view of the impostor,パブロフの犬がインポスターの視界,巴甫洛夫的狗拥有内鬼视野,巴甫洛夫的狗擁有內鬼視野
PavlovsdogRunAwayKillCoolTime,Coold time when out of control,暴走時のクールタイム,巴甫洛夫的狗发狂时的击杀冷却,巴甫洛夫的狗發狂時的擊殺冷卻時間
PavlovsdogRunAwayDeathTime,Self-destruct time when out of control,暴走時の自爆タイム,巴甫洛夫的狗发狂时的自杀时限,巴甫洛夫的狗發狂時的自殺時限
PavlovsdogRunAwayDeathTimeIsMeetingReset,Reset self-destruct time in a meeting,会議で自爆タイムをリセットする,会议后重置巴甫洛夫的狗的自杀时限,會議後重置巴甫洛夫的狗的自殺時限
PavlovsTeamWinText,Pavlov's dog and owner,パブロフの犬とオーナー,巴甫洛夫团队,巴甫洛夫與狗
PavlovsownerCreatedogButtonName,stenciling,刷り込み,驯化,馴服
KnightName,Knight,騎士,骑士,騎士
KnightTitle1,I will protect you according to my beliefs.,我が信念に沿って護衛しよう,举起正义之盾,為了吾之信仰而守護
KnightDescription,During the conference phase，you can put up a shield to prevent one kill by using the protect button. If the protection is successful，a successful protection announcement will be played at the beginning of the next meeting phase.,会議フェイズ中に護衛ボタンを使用する事で、キルを一回防ぐシールドを張ることができます。 設定により護衛が成功した際、次の会議フェイズ開始時に護衛成功アナウンスが流れます。,会议阶段，骑士可以选择一名玩家，阻挡一次那名玩家在会议上遭受的击杀。根据房间设置，骑士守护成功的下一轮会议上，所有玩家可以收到骑士守护成功的信息。,會議階段,騎士可以選擇一名玩家，阻擋一次那名玩家在會議上遭受的擊殺。根據房間配置，騎士守護成功的下一輪會議上，所有玩家可以收到騎士守護成功的訊息。
KnightCanAnnounceOfProtected,Play an announcement when the protection is successful?,護衛成功時にアナウンスを流すか,骑士守护成功后通知所有玩家,騎士守護成功後通知所有玩家
KnightSetTheUpperLimitOfTheGuarding,Do you want to set a limit on the number of protections?,護衛回数に上限を設けるか,骑士守护次数有上限,騎士守護次數有上限
KnightMaximumNumberOfTimes,Maximum number of times protection is possible.,護衛上限回数,骑士每轮游戏最大守护次数,騎士每輪遊戲最大守護次數
TheKnightProtected,The knight's protection was successful.,騎士の護衛が成功しました。,骑士成功护卫了一名玩家。,騎士成功護衛了一名玩家。
KnightProtectButton,Protect,護衛,保护,守護
WerewolfName,Werewolf,人狼,狼人,狼人
WerewolfTitle1,Let's kill a villager!,村人をキルしよう,杀害村民,殺害村民
ConnectKillerName,ConnectKiller,コネクトキラー,浊化行者,穿行殺手
ConnectKillerTitle1,Lets’ Connect!,通信サボタージュでベントを繋げよう,趁通讯破坏在管道间穿行,趁通訊破壞在通風管道間穿行
NekoKabochaName,NekoKabocha,ネコカボチャ,复仇者,復仇者
NekoKabochaTitle1,Let me take you on the road.,道連れを起こそう,杀人偿命,殺人償命
KillCooldown,KillCooldown,キルクールダウン,击杀冷却,擊殺冷卻
CanRevengeCrewmate,Can take crewmates on the road,クルーメイトを道連れ可,复仇者可以连带船员阵营玩家,復仇者可以連帶船員陣營玩家
CanRevengeImpostor,Can take Impostor on the road,インポスターを道連れ可,复仇者可以连带内鬼阵营玩家,復仇者可以連帶內鬼陣營玩家
CanRevengeNeutral,Can take a third camp,第三陣営を道連れ可,复仇者可以连带独立阵营玩家,復仇者可以連帶中立陣營玩家
CanRevengeExiled,Can take a crewmate in exile,追放で道連れ可,复仇者被放逐时可以连带一名玩家,復仇者被放逐時可以連帶一名玩家
GMName,GM,GM,管理员,遊戲管理員
GMTitle1,You are Game Master,あなたはゲームマスター,你是管理员,你是遊戲管理員
GMTeleport,Teleport,テレポート,传送,傳送
GMKill,Kill,キル,击杀,擊殺
GMRevive,Revive,復活,复活,復活
GMExile,Exile(No Deadbody Kill),追放(死体なしキル),放逐,放逐
GMCleanDeadbody,Clean Deadbody,死体削除,清理,清理
GMStartMeeting,Start Meeting,会議開始,会议,開始會議
GMCleanDeadbodyAndRevive,Clean Deadbody And Revive,死体を削除して復活,清理尸体并复活,清理屍體並復活
GMSpawnDeadBody,Spawn Deadbody,死体発生,生成尸体,生成屍體
GMEndMeeting,End Meeting,会議終了,结束会议,結束會議
SuicidalIdeationName,Suicidal ideation,自殺願望者,绝望先生,期望自殺者
SuicidalIdeationTitle1,Finding no hope for life,生きる希望を見いだせない,找寻活着的意义,找到活下去的意義
SuicidalIdeationDescription,It has a self-destruct timer that extends the time to do a task.\nIt has its own fall-to-death probability.\nIf you complete the task before it self-destructs， you win alone.\nYou also win an additional victory if you survive even if you do not complete the task.,タスクをすると時間が延びる自爆タイマーがあります。\n独自の転落死確率を持ちます。\n自爆する前にタスクを完了すると単独勝利します。\nまた、タスクを完了していなくても、生存していれば追加勝利します。,绝望先生可以通过做任务延长自己的自杀倒计时。\n绝望先生持有独立的在梯子上摔死概率。\n只要绝望先生在自杀前做完了所有任务，绝望先生便可以单独获胜。\n若绝望先生没有完成所有任务，但在游戏结束时存活，绝望先生也可以获胜。
SuicidalIdeationWinTextSetting,Special Victory Letters,特殊勝利文字,绝望先生拥有特殊胜利文本,獨特的勝利文字
SuicidalIdeationTimeLeftSetting,Time Increased by Doing Tasks,自殺までの時間,绝望先生自杀倒计时,自殺倒數時間
SuicidalIdeationAddTimeLeftSetting,Time to suicide,タスクをすると増える時間,绝望先生完成一个任务后倒计时的增量,完成一個任務後倒計時的增量
SuicidalIdeationFallProbabilitySetting,Probability of falling to death,転落死の確率,绝望先生摔死的概率,摔死的機率
SuicidalIdeationWinText,Try to live a little longer\nSuicidal person,もう少し生きてみようかな\n自殺願望者,再见，绝望先生！\n绝望先生,還想再活下去吧\n期望自殺者
SuicidalIdeationButtonName,Time to suicide,自殺まで,自杀倒计时,自殺倒計時
CupidName,Cupid,キューピット,丘比特,邱比特
CupidTitle1,Let's tie the red thread of fate,運命の赤い糸を結ぼう,牵起命运的红线,牽起命運的紅線
CupidDescription,You can nominate Lovers. \nYou win as soon as the rubbers you have nominated achieve rubbers win.,ラバーズを指名することが出来ます。\n指名したラバーズがラバーズ勝利を達成すると同時に勝利します。,丘比特可以选择两名玩家成为恋人。\n只要丘比特指定的恋人作为恋人获胜，丘比特一同获胜。,邱比特可以指名一對戀人。\n當你指名的戀人獲得勝利時，你將與戀人一同獲勝。
CupidButtonName,Shoot the love arrows,恋の矢,爱之箭,愛之箭
HamburgerShopName,Hamburger Shop,ハンバーガー屋,汉堡店店主,蟹老闆
HamburgerShopTitle1,Let's make delicious，tasty burgers!,美味しい美味しいハンバーガーを作ろう,做出美味的汉堡,做出美味蟹堡
HamburgerShopTitle2,Let's make lots of burgers!,ハンバーガーをたくさん作ろう,做出一大堆汉堡,做出一大堆美味蟹堡
HamburgerShopTitle3,Hamburger is Delicious,ハンバーガー is デリシャス,汉堡能够让我们创造出奇迹，我是汉堡的忠实拥护者,美味蟹堡能產生奇蹟
HamburgerShopChangeTaskPrefab,Replace all tasks with hamburger tasks,全タスクをハンバーガータスクに置き換える,汉堡店店主的所有任务替换为做汉堡任务,蟹老闆的所有任務替換為做出美味蟹堡任務
PenguinName,Penguin,ペンギン,绑匪,綁匪
PenguinTitle1,Let's drag and kill!,ぺちぺち！,绑架他人,綁架他人
PenguinButtonName,Abduction,拉致,绑架,綁架
PenguinCanDefaultKill,Can default kill,通常キルができる,绑匪可以进行通常击杀,綁匪可以進行通常擊殺
PenguinMeetingKill,Kill when the meeting starts,能力発動中に会議が始まった場合キルをする,技能持续期间若会议阶段开始则进行击杀,綁架中進入會議則撕票
LoversBreakerName,LoversBreaker,爆ぜ師,FFF团,現充爆破者
LoversBreakerTitle1,fulfilling life explosion!!fulfilling life explosion!!,リア充爆発！！リア充爆発！！,现充去死！现充爆炸！,現充通通爆破吧！
LoversBreakerBreakCount,Number of explosions needed to win,勝利に必要な爆破数,FFF团获胜所需击杀的恋人数,現充爆破者所需擊殺戀人數
LoversBreakerIsDeathWin,You can win even if you are dead.,死亡していても勝利できる,FFF团死亡状态下也能获胜,現充爆破者死亡狀態下也能獲勝
LoversBreakerButtonName,Blow up,爆破,爆杀现充！,現充爆破！
JumboName,Jumbo,ジャンボ,巨无霸,超大型巨人
JumboTitle1,Wow!?Jumbo!!!,ワオ、ジャンボ！！！,怎么你们都这么小？,你們都這麼小？
NiceJumboName,NiceJumbo,ナイスジャンボ,正义的巨无霸,正義的超大巨
NiceJumboTitle1,Big Crewmate Team!!!,大きいクルーメイトの味方,船员中的大块头,船員中的大塊頭
EvilJumboName,EvilJumbo,イビルジャンボ,邪恶的巨无霸,邪惡的超大巨
EvilJumboTitle1,Let's overwhelm the crew with the size of this thing.,この大きさでクルーを圧倒しよう,用庞大的身躯征服飞船,用龐大的身軀征服飛船
JumboCrewmateChance,Probability of being a NiceJumbo,ナイスジャンボになる確率,巨无霸生成为船员阵营的概率,超大巨生成為船員陣營的概率
JumboMaxSize,Maximum size,最大サイズ,巨无霸最大体型,超大巨最大體型
JumboSpeedUpSize,Growth speed,成長スピード,巨无霸变大速度,超大巨變大速度
JumboWalkSoundSize,Loudness of footsteps,足音の大きさ,巨无霸脚步声音量,超大巨腳步聲音量
DebuggerName,Debugger,デバッガー,调试员,除錯員
DebuggerButtonName,Debug,デバッグ,调试,除錯
Functions,Functions,基本操作,基础操作,基礎操作
PlayerControl,Player control,プレイヤー操作,玩家操作,玩家操作
StartMeeting,Start meeting,緊急会議,召开紧急会议,召開緊急會議
ShowRole,Show role,役職を表示,显示职业,顯示職業
DeShowRole,Cancel show role,役職を非表示,取消显示职业,取消顯示職業
Teleport,Teleport,テレポート,传送,傳送
ReportDeadbody,Report deadbody,通報,报告,報告
Exile,Exile,追放,放逐,放逐
Kill,Kill,キル,击杀,擊殺
Revive,Revive,蘇生,复活,復活
CleanDeadbody,Clean deadbody,死体掃除,清理,清理
SetRole,Set role,役職付与,职业赋予,職業賦予
Crewmate,Crewmate,クルーメイト,船员,船員
Impostor,Impostor,インポスター,内鬼,內鬼
WorshiperName,Worshiper,崇拝者,狂信徒,狂信徒
WorshiperTitle1,If I can help them，I will spare my life.,あなた方の力になれるのなら 私の命など惜しくはない。,为主人献上自己的生命,為主人獻上自己的生命
WorshiperDescription,The decision is in the Crewmate camp but he is a companion of the Impostor.\nIf the Impostor wins the Madmate can also win.\n\nIt has two self-determination abilities.\nIt commits suicide on the spot by using the Shapeshift when SHR and the [Suicide] ability when SNR.\nBy using the kill button，it commits suicide in the form of a sheriff misfire.\nAha，master. My will is yours and my life is for yours...\nCome，master. Let us fulfill that desire.,判定はクルーメイト陣営ですが、インポスターの仲間です。\n\n2つの自決能力を持ちます。\nSHR時はシェイプシフト、SNR時は[自決]能力を使用する事で、その場で自殺します。\nキルボタンを使用する事でシェリフ誤爆のような形で自殺します。\n嗚呼、ご主人。私の意思は貴方の物であり、私の命は貴方の為にあるのです・・・\nさあ、ご主人その願望をかなえましょう。,狂信徒开局获得两个自杀能力。\n通过按下“化形”键（SHR）或“自杀”键（SNR），狂信徒可以在任意地点自杀。\n通过按下“击杀”键，狂信徒可以进行类似警长走火的自杀。\n主啊。我将为您献上我的意志，我将为您献上我的生命……\n来吧，主人，我将实现您的“那个”目标……,狂信徒會被判定為船員陣營，但事實上是內鬼陣營的夥伴。\n\n開局獲得兩個自殺能力。\n通過按下「化形」鍵(SHR)或「自殺」鍵(SNR)，狂信徒可以再任意地點自殺\n通過按下「擊殺」鍵，狂信徒可以進行類似警長誤殺的現象。\n主啊，主啊我將為您獻上我的意志，我將為您獻上我的生命...\n來吧，主人，我將實現您的目標...
WorshiperAbilitySuicideCoolTime,Suicide coold time setting with ability buttons.,アビリティボタンによる自決のクールタイム設定,任意自杀的冷却,任意自殺的冷卻
WorshiperKillSuicideCoolTime,Suicide coold time setting with kill buttons.,キルボタンによる自決のクールタイム設定,类似走火自杀的冷却,類似走火自殺的冷卻
WorshiperSuicide,Suicide,自決,自杀,自殺
SafecrackerName,Safecracker,金庫破り,盗贼,盜賊
SafecrackerTitle1,Open the safe， get the ability and win!,金庫を開けて、能力と勝利を手に入れよう,偷窃保险箱，获取能力并夺得胜利,竊取保險箱，獲得能力並贏得勝利
SafecrackerDescription,By opening the vault， you can acquire various abilities.\nIt grants you a kill guard， an exiled guard， vent， etc.\nOpen the safe to the end and win the game.,金庫を開けることで、様々な能力を取得することが出来ます。\nキルガードや追放ガード、ベントなどが付与されます。\n金庫を最期まで開け、勝利を手に入れましょう。,通过打开保险库，盗贼可以获得各种能力，\n如击杀保护、放逐保护、使用管道等等。\n不断打开保险库来获得胜利。,通過打開保險箱，盜賊能獲得各種能力，\n如擊殺保護、放逐保護、使用通風管道等。\n不斷打開保險箱來贏得勝利。
NotAbility,None,なし,无,無
SafecrackerKillGuardTaskSetting,Amount of tasks to be able to kill guard (of all tasks),キルガードが出来るようになるタスク量(全タスク内),盗贼获得击杀保护需要打开的保险库数,盜賊獲得擊殺保護需要打開的保險箱數目
SafecrackerMaxKillGuardCountSetting,Kill guard max count,キルガードできる回数,击杀保护次数,擊殺保護次數
SafecrackerExiledGuardTaskSetting,Amount of tasks to be able to be able to exiled guard (of all tasks),追放ガードが出来るようになるタスク量(全タスク内),盗贼获得放逐保护需要打开的保险库数,盜賊獲得放逐保護需要打開的保險箱數目
SafecrackerMaxExiledGuardCountSetting,Exiled guard max count,追放ガードできる回数,放逐保护次数,放逐保護次數
SafecrackerUseVentTaskSetting,Amount of tasks for which the vent will be available (of all tasks),ベントが使用可能になるタスク量(全タスク内),盗贼获得使用管道能力需要打开的保险库数,盜賊獲得使用通風管道能力需要打開的保險箱數目
SafecrackerUseSaboTaskSetting,Amount of tasks for which sabotage will be available (of all tasks),サボタージュが使用可能になるタスク量(全タスク内),盗贼获得破坏能力需要打开的保险库数,盜賊獲得破壞能力需要打開的保險箱數目
SafecrackerIsImpostorLightTaskSetting,Amount of tasks for become an Imposter's field of view (of all tasks),インポスターの視界になるタスク量(全タスク内),盗贼获得内鬼视野需要打开的保险库数,盜賊獲得內鬼視野需要打開的保險箱數目
SafecrackerCheckImpostorTaskSetting,Amount of tasks that will allow you to check the Imposter (of all tasks),インポスターを確認できるようになるタスク量(全タスク内),盗贼确认内鬼玩家需要打开的保险库数,盜賊確認內鬼玩家需要打開的保險箱數目
SafecrackerChangeTaskPrefabSetting,Replace all tasks with unlock safe tasks,全タスクを金庫タスクに置き換える,盗贼的全部任务替换为解锁保险库的任务,盜賊的全部任務替換為解鎖保險箱的任務
FireFoxName,Fier Fox,炎狐,烈焰狐,烈焰狐
FireFoxTitle1,I am Fier Fox!,私は炎狐です！,吾乃火之化身！,吾乃火之化身！
FireFoxDescription,It is a Fox that has been given a kill button instead of a kill guard.\nThe number of kills is limited and only certain camps can be killed.\nIf you press the kill button for a player who is not in the killable camp， your kill count will decrease without a kill.\nThink about who to kill and contribute to the Fox's victory.,キルガードの代わりにキルボタンを与えられた妖狐です。\nキル回数は制限されており、特定の陣営のみキル可能です。\nキル可能陣営以外にキルボタンを押してしまうと、キルせずにキル回数のみ減ってしまいます。\n誰をキルするか考え、妖狐の勝利に貢献しましょう。,烈焰狐在狐妖的基础上失去了击杀保护能力，转而获得击杀能力。\n烈焰狐的击杀有次数限制，且只能击杀特定阵营的玩家。\n如果烈焰狐尝试击杀一名其不能击杀的玩家，那次击杀无效。\n仔细思考自己要击杀的玩家，作为狐妖获得胜利。,烈焰狐在狐妖的基礎上失去了擊殺保護能力，轉而獲得擊殺能力。\n烈焰狐的擊殺有次數限制，且只能擊殺特定陣營的玩家。\n如果烈焰狐嘗試擊殺一名其不能擊殺的玩家，那次擊殺無效。\n仔細思考自己要擊殺的玩家，作為狐妖獲得勝利。
FireFoxCanKillCrewmateSetting,Can kill the crewmate camp,クルーメイト陣営をキルできる,可以击杀船员阵营玩家,可以擊殺船員陣營玩家
FireFoxCanKillImpostorSetting,Can kill the imposter camp,インポスター陣営をキルできる,可以击杀内鬼阵营玩家,可以擊殺內鬼陣營玩家
FireFoxCanKillNeutralSetting,Can kill the third camp,第三陣営をキルできる,可以击杀独立阵营玩家,可以擊殺中立陣營玩家
FireFoxCanKillLoversSetting,Can kill the lovers,ラバーズをキルできる,可以击杀恋人,可以擊殺戀人
FireFoxIsCheckFoxSetting,You can check the fox,妖狐を視認できる,可以确认妖狐是谁,可以確認狐妖身分
SquidName,Squid,イカ,乌贼娘,烏賊
SquidTitle1,Use ink to survive.,墨を使って生き延びろ,喷出乌贼墨来躲避击杀,噴出墨汁來躲避擊殺
SquidTitle2,Let's use ink to get away with it.,墨を使って逃げ切ろう,不是要杀我吗？,不是要殺我嗎？
SquidDescription,You can be on alert for a certain period of time.\nIf you are about to be killed while on alert， you can prevent the kill， take away your opponent's vision， and increase your own movement speed for a certain period of time.,一定時間警戒することが出来ます。\n警戒中にキルされそうになると、そのキルを防ぎ相手の視界を奪い、一定時間自身の移動速度が上昇します。,乌贼娘使用技能后会进入警戒状态。\n若有玩家尝试击杀警戒状态下的乌贼娘，那次击杀无效，那名玩家的视野暂时缩小，乌贼娘自身的速度在一定时间内上升。,烏賊使用技能後會進入警戒狀態。\n若有玩家嘗試擊殺警戒狀態下的烏賊，那次擊殺無效，那名玩家的視野暫時縮小，烏賊自身的速度在一定時間內上升。
SquidCoolTimeSetting,Cool time for vigilance mode,警戒モードのクールタイム,乌贼娘警戒冷却,警戒冷卻時間
SquidDurationTimeSetting,Duration of vigilance mode,警戒モードの持続時間,乌贼娘警戒持续时间,警戒持續時間
SquidBoostSpeedSetting,Movement speed on successful counters,カウンター成功時の移動速度,乌贼娘反击成功后的移动速度,反擊成功後的移動速度
SquidBoostSpeedTimeSetting,Time to increase movement speed on successful counters,カウンター成功時の移動速度が上がる時間,乌贼娘反击成功后移动速度提升持续时间,反擊成功後的移動速度提升持續時間
SquidNotKillTimeSetting,Time when no kills can be made on successful counters,カウンター成功時のキルが出来ない時間,乌贼娘反击成功后乌贼娘不能被击杀,反擊成功後不能被擊殺
SquidDownVisionSetting,Field of vision when vision is deprived,視界が奪われたときの視野,乌贼娘影响下的玩家视野,被烏賊影響下的玩家視野
SquidObstructionTimeSetting,Time to take away the view,視界を奪う時間,玩家视野受乌贼娘影响的持续时间,玩家視野受烏賊影響的持續時間
SquidButtonName,Vigilance,警戒,警戒,警戒
DyingMessengerName,Dying Messenger,遺言伝達者,入殓师,遺言傳遞者
DyingMessengerTitle1,Will and testament， we will tell you.,遺言、お伝え致します,为生者传达死者的遗言,為生者傳達死者的遺言
DyingMessengerDescription,When you are able to report a kill within a certain amount of time after the kill.\nYou can get the information of the killers of the dead body you reported.\nGet the information and contribute to the victory of the crew's camp.,キルされてから一定時間内で通報できた時に、\n通報した死体のキル者の情報を取得することが出来ます。\n情報を取得し、クルー陣営の勝利に貢献しましょう。,如果入殓师在出现击杀后一定时间内报告玩家的尸体，\n入殓师将会得到有关这次击杀的凶手的信息。\n入殓师需要利用获得的信息帮助船员阵营获胜。,如果遺言傳遞者在出現擊殺後一定時間內報告玩家的屍體，\n遺言傳遞者將會得到有關這次擊殺的凶手的資訊。\n遺言傳遞者需要利用獲得的資訊幫助船員陣營獲勝。
DyingMessengerGetRoleTimeSetting,Time to read the roll of the killers from the corpse,死体からキル者の役職を読み取れる時間,报告获得凶手职业所需死亡间隔时间,報告獲得凶手職業所需死亡間隔時間
DyingMessengerGetLightAndDarkerTimeSetting,Time to read the light and darker colors of the kill from the corpse,死体からキル者の色の明暗を読み取れる時間,报告获得凶手颜色深浅所需死亡间隔时间,報告獲得凶手顏色深淺所需死亡間隔時間
DyingMessengerFirstPerson1,me,私,我,我
DyingMessengerFirstPerson2,me,僕,我,我
DyingMessengerGetRoleText,The role of the person who killed {0} was {1}.,{0}をキルした人の役職は{1}でした。,杀害{0}的人是一名{1}。,將{0}殺害的人是一名{1}。
DyingMessengerGetLightAndDarkerText,The person who killed {0} had {1} color.,{0}をキルした人の色は{1}色でした。,杀害{0}的人是{1}色的。,將{0}殺害的人是{1}色的。
WiseManName,WiseMan,賢者,贤者,賢者
WiseManTitle1,Protect your crew with a large shield.,大きい盾でクルーを守ろう,用神圣之盾保护船员,用神聖之盾保護船員
WiseManButtonName,Sacred Barrier,聖なるバリア,神圣之盾,神聖之盾
NiceMechanicName,NiceMechanic,ナイスメカニック,正义的迁管工,正義的機械師
NiceMechanicTitle1,Leave it to me to maintain this boat!,この船の整備はお任せあれ！,改造飞船上的管道,改造飛船上的管道
EvilMechanicName,EvilMechanic,イビルメカニック,邪恶的迁管工,邪惡的機械師
EvilMechanicTitle1,I will convert this ship to my liking.,この船を私好みに改造してやろう,尝试将管道改造得对自己有利,嘗試將管道改造得對自己有利
MechanicButtonName,Relocate.,移設,改造,改造
TheThreeLittlePigsName,The Three Little Pigs,3匹の仔豚,三只小猪,三隻小豬
TheFirstLittlePigName,The First Little Pig,1番目の仔豚,猪老大,猪老大
TheSecondLittlePigName,The Second Little Pig,2番目の仔豚,猪老二,猪老二
TheThirdLittlePigName,The Third Little Pig,3番目の仔豚,猪老三,猪老三
TheFirstLittlePigTitle1,House， keep us safe!,家を作って狼から身を守ろう,盖出保护自己的房子,蓋出保護自己的房子
TheSecondLittlePigTitle1,House， keep us safe!,家を作って狼から身を守ろう,盖出保护自己的房子,蓋出保護自己的房子
TheThirdLittlePigTitle1,House， keep us safe!,家を作って狼から身を守ろう,盖出保护自己的房子,蓋出保護自己的房子
TheThreeLittlePigsTaskSetting,Assign tasks separately,別にタスクを割り当てる,单独分配任务数,單獨分配任務數
TheFirstLittlePigClearTaskSetting,Percentage of tasks required for The first little pig to complete the house,1番目の仔豚が家を完成させるのに必要なタスクの割合,猪老大盖出房子需要的任务进度,豬老大蓋出房子需要的任務進度
TheFirstLittlePigIsCustomTimerSetting,Set the timer for The first little pig,1番目の仔豚のタイマーを設定する,猪老大盖房子有时间限制,豬老大蓋房子有時間限制
TheFirstLittlePigCustomTimerSetting,The first little pig timer,1番目の仔豚のタイマー,猪老大盖房子的时间限制,豬老大蓋房子的時間限制
TheSecondLittlePigClearTaskSetting,Percentage of tasks required for The second little pig to complete the house,2番目の仔豚が家を完成させるのに必要なタスクの割合,猪老二盖出房子需要的任务进度,豬老二蓋出房子需要的任務進度
TheSecondLittlePigManGuardMaxCountSetting,Number of times The second little pig can be guarded,2番目の仔豚がガードできる回数,猪老二盖好房子后可以抵挡的击杀次数,猪老二蓋好房子後可以抵擋的擊殺次數
TheThirdLittlePigClearTaskSetting,Percentage of tasks required for The third little pig to complete the house,3番目の仔豚が家を完成させるのに必要なタスクの割合,猪老三盖出房子需要的任务进度,豬老三蓋出房子需要的任務進度
TheThirdLittlePigCounterKillSetting,Number of times The third little pig can be countered,3番目の仔豚がカウンターできる回数,猪老三盖好房子后可以反杀的次数,猪老三蓋好房子後可以反殺的次數
OrientalShamanName,Oriental Shaman,陰陽師,阴阳师,陰陽師
OrientalShamanTitle1,Where this ship will end up is beyond where the stars lead us.,この船の行く末は星が導くその先に,群星指引着这艘飞船的终末…,星星啊...接受群星的指導吧
OrientalShamanDescription,They possess a variety of abilities necessary for survival.\nInstead， can't fix sabotage.\nIf you survive to the end， you win alone.,生き抜くために必要な様々な能力を持っています。\n代わりにサボタージュは直せません。\n最後まで生き残ると単独勝利します。,阴阳师属于独立阵营，拥有各种能力，需要存活来获得胜利。\n阴阳师不能修复紧急破坏。\n阴阳师存活到游戏结束则独自获胜。,陰陽師屬於中立陣營，擁有各種能力，需要存活來獲得勝利。\n陰陽師不能修復緊急破壞。\n陰陽師存活到遊戲結束則獨自獲勝。
OrientalShamanImpostorVisionSetting,Make Oriental shaman the imposter vision,陰陽師をインポスターの視界にする,阴阳师拥有内鬼视野,陰陽師擁有內鬼視野
OrientalShamanVentUseCoolTimeSetting,Cool time for Oriental shaman's vent,陰陽師のベントのクールタイム,阴阳师使用管道冷却,陰陽師使用通風管道冷卻時間
OrientalShamanVentDurationTimeSetting,Duration of Oriental shaman's vent,陰陽師のベントの持続時間,阴阳师允许使用管道的持续时间,陰陽師允許使用通風管道的持續時間
OrientalShamanCrewTaskWinHijackSetting,You can hijack a task victory,タスク勝利を乗っ取れる,阴阳师的胜利优先于船员完成任务获胜,陰陽師的勝利判定優先於船員完成任務獲勝
