Key,English,Japanese,SChinese
ShiftActorTitle1,Let's play it out perfectly,完璧に演じ切ろう,完美地模仿出来
CanWatchAttribute,Can watch attribute,重複役職を見れる,可以模仿附加职业
RightChance,Probability of Success,成功確率,正确概率
ShiftActorText1,'s role is,の役職は,的职业是
ShiftActorText2,.,です,是
MadRolesCanFixComms,Mad roles can fix comms sabotage,マッド役職がコミュサボを治せる,叛徒阵营可以修理通讯破坏
MadRolesCanFixElectrical,Mad roles can fix electrical sabotage,マッド役職が停電を治せる,叛徒阵营可以修理照明破坏
MadRolesCanVentMove,Mad roles can vent move,マッド陣営がベント移動できる,叛徒阵营可以在通风口间移动
DoppelgangerName,Doppelganger,ドッペルゲンガー,迷失者
DoppelgangerTitle1,\It seems that if you'll meet myself， you're dead\,同じ顔の人に出会うと死んじゃうんだって,“听说了吗，人在命不久矣的时候会见到另一个自己”
DoppelgangerDescription,"Doppelgangers can ShapeShift.\nIf a ShapeShifted target is killed during ShapeShift, the Kill Cool  is shorter.\nIf, instead, a non-shapeShifted target is killed or a non-shapeShifted target is killed, the Kill Cool will be longer.",ドッペルゲンガーはシェイプシフトができます\nシェイプシフトをした状態で、シェイプシフトの変身先をキルするとキルクールが短くなります。\nシェイプシフトの変身先以外をキルしたり、シェイプシフトをしない状態でキルすると、キルクールが長くなってします。,迷失者可以化形。\n化形状态下的迷失者击杀自己的化形对象后，迷失者的下一次击杀冷却缩短。\n若迷失者在化形状态下击杀了自己化形对象以外的玩家，或者在未化形的状态下进行击杀，下一次击杀冷却将延长。
DoppelgangerDurationTimeSetting,Shapeshift Duration,シェイプシフトの持続時間,化形持续时间
DoppelgangerCoolDownSetting,Shapeshift Cooldown,シェイプシフトのクールタイム,化形冷却时间
DoppelgangerSucTimeSetting,Kill Cool Time on Success,成功時のキルクール,成功击杀化形对象后击杀冷却时间
DoppelgangerNotSucTimeSetting,Kill Cool Time on Failur,失敗時のキルクール,没能成功击杀化形对象后击杀冷却
DoppelgangerButtonName,ShapeShift,シェイプシフト,化形
DoppelgangerDurationTimerText,{0} seconds left to deactivate.,解除まで{0}秒,{0}秒后解除化形
WaveCannonName,Wave Cannon,波動砲,重炮手
WaveCannonTitle1,Use the cannon and get the kill!,大砲を使用し、キルしよう,上天去吧！
WaveCannonChargeTime,Charge Time,チャージ時間,充能时间
IsSyncKillCoolTime,null,null,与击杀冷却时间同步
WaveCannonButtonName,Wave Cannon,波動砲,开炮
WaveCannonJackalName,Wave Cannon Jackal,波動砲ジャッカル,豺狼重炮手
WaveCannonJackalTitle1,Use the cannon and get the kill!,大砲を使用し、キルしよう,上天去吧！
CrackerName,Cracker,クラッカー,神隐者
CrackerTitle1,Let's crack on and play God!,クラックして神隠しをしよう,让他人神隐
CrackerIsAdminView,Counted by Admins,アドミンにカウントされる,被神隐玩家可以在地图上观测到
CrackerIsVitalsView,Counted in Vitals,バイタルにカウントされる,被神隐玩家可以在生命监测装置上观测到
CrackerOneTurnSelectCount,Number of times you can crack in one turn,1ターン内にクラックできる回数,每轮可以被神隐人数
CrackerAllTurnSelectCount,Number of times you can crack during a match,試合中にクラックできる回数,每局游戏可以神隐人数
CrackerIsSelfNone,Cracks are unrecognizable to the cracker,クラック者はクラックを認識できない,神隐者无法识别被神隐玩家
CrackerButtonName,Crack!!!,クラック,神隐
CamouflagerName,Camouflager,カモフラージャー,隐蔽者
CamouflagerTitle1,Let's hide in the crowd.,人混みに隠れよう,隐匿于人群之中
CamouflagerCoolTimeSetting,Camouflage Cooltime,カモフラージュのクールタイム,隐蔽冷却时间
CamouflagerDurationTimeSetting,Camouflage Duration,カモフラージュの持続時間,隐蔽持续时间
CamouflagerCamouflageArsonistSetting,Arsonists can still see mark while activating their skill,アーソニストがカモフラージュ中に塗った人がわかる,纵火犯不受隐蔽者技能影响
CamouflagerCamouflageDemonSetting,Demon can still see mark while activating their skill,悪魔がカモフラージュ中に呪った人がわかる,恶魔不受隐蔽者技能影响
CamouflagerCamouflageLoversSetting,Lovers can still see mark while activating their skill,ラバーズがカモフラージュ中に相方がわかる,恋人不受隐蔽者技能影响
CamouflagerCamouflageQuarreledSetting,Quarreled can still mark while activating their skill,クラードがカモフラージュ中に相方がわかる,邪恶天使不受隐蔽者技能影响
CamouflagerCamouflageChangeColorSetting,Change the color of camouflage,カモフラージュ中の色を変更する,自定义隐蔽色
CamouflagerCamouflageColorSetting,Camouflage color,カモフラージュ中の色,隐蔽色
CamouflagerButtonName,Camouflager,カモフラージュ,隐蔽
PavlovsdogsName,Pavlov's dogs,パブロフの犬,巴甫洛夫之狗
PavlovsownerName,Pavlov's owner,パブロフのオーナー,巴普洛夫之主
PavlovsdogsTitle1,Let us be of service.,お役に立ってみせましょう,为我服务吧
PavlovsownerTitle1,Be my dog!,私の犬になりなさい！,做我的狗吧!
PavlovsownerCreateDogCoolTime,Side Kick Cool Time,サイドキックのクールタイム,驯养冷却时间
PavlovsownerCreateDogLimit,Number of times a side kick can be made in one match,1試合内にサイドキックできる回数,每局游戏可以驯养次数
PavlovsownerIsTargetImpostorDeath,Self-destruct if the opponent is an Impostor,相手がインポスターだと自爆する,在尝试驯养伪装者时自杀
PavlovsdogIsImpostorView,Pavlov's dog has a view of the impostor,パブロフの犬がインポスターの視界,狗拥有伪装者视野
PavlovsdogRunAwayKillCoolTime,Coold time when out of control,暴走時のクールタイム,狗发狂时击杀冷却时间
PavlovsdogRunAwayDeathTime,Self-destruct time when out of control,暴走時の自爆タイム,狗发狂时自杀倒计时
PavlovsdogRunAwayDeathTimeIsMeetingReset,Reset self-destruct time in a meeting,会議で自爆タイムをリセットする,会议后重置自杀倒计时
PavlovsTeamWinText,Pavlov's dog and owner,パブロフの犬とオーナー,人与狗获胜
PavlovsownerCreatedogButtonName,stenciling,刷り込み,驯养
KnightName,Knight,騎士の護衛が成功しました。,骑士
KnightTitle1,I will protect you according to my beliefs.,我が信念に沿って護衛しよう,举起正义之盾
KnightDescription,"During the conference phase, you can put up a shield to prevent one kill by using the protect button. If the protection is successful, a successful protection announcement will be played at the beginning of the next meeting phase.",会議フェイズ中に護衛ボタンを使用する事で、キルを一回防ぐシールドを張ることができます。 設定により護衛が成功した際、次の会議フェイズ開始時に護衛成功アナウンスが流れます。,会议阶段，骑士可以选择一名玩家，阻挡一次那名玩家在会议上遭受的击杀。根据房间设置，骑士守护成功的下一轮会议上，所有玩家可以收到骑士守护成功的信息。
KnightCanAnnounceOfProtected,Play an announcement when the protection is successful?,護衛成功時にアナウンスを流すか,守护成功后通知所有玩家
KnightSetTheUpperLimitOfTheGuarding,Do you want to set a limit on the number of protections?,護衛回数に上限を設けるか,守护次数有上限
KnightMaximumNumberOfTimes,Maximum number of times protection is possible.,護衛上限回数,每轮游戏最大守护次数
TheKnightProtected,The knight's protection was successful.,騎士の護衛が成功しました。,骑士成功护卫了一名玩家。
KnightProtectButton,Protect,護衛,保护
WerewolfName,Werewolf,人狼,狼人
WerewolfTitle1,Let's kill a villager!,村人をキルしよう,杀害村民
ConnectKillerName,ConnectKiller,コネクトキラー,连接杀手
ConnectKillerTitle1,Lets’ Connect!,通信サボタージュでベントを繋げよう,趁通讯破坏在通风口间穿行
NekoKabochaName,NekoKabocha,ネコカボチャ,邪恶的猫又
NekoKabochaTitle1,Let me take you on the road.,道連れを起こそう,唤醒那些执迷不悟的人。
KillCooldown,KillCooldown,キルクールダウン,击杀冷却时间
CanRevengeCrewmate,Can take crewmates on the road,クルーメイトを道連れ可,可以连带船员阵营
CanRevengeImpostor,Can take Impostor on the road,インポスターを道連れ可,可以连带伪装者阵营
CanRevengeNeutral,Can take a third camp,第三陣営を道連れ可,可以连带独立阵营
CanRevengeExiled,Can take a crewmate in exile,追放で道連れ可,被放逐时可以连带一名玩家
GMName,GM,GM,管理员
GMTitle1,You are Game Master,あなたはゲームマスター,你是管理员
SuicidalIdeationName,Suicidal ideation,自殺願望者,自杀幻想者
SuicidalIdeationTitle1,Finding no hope for life,生きる希望を見いだせない,喝一杯咖啡，完成自己的任务，然后"睡一觉"吧
SuicidalIdeationWinTextSetting,Special Victory Letters,特殊勝利文字,使用特殊胜利文本
SuicidalIdeationTimeLeftSetting,Time Increased by Doing Tasks,自殺までの時間,自杀倒计时
SuicidalIdeationAddTimeLeftSetting,Time to suicide,タスクをすると増える時間,每完成一个任务增加倒计时时间
SuicidalIdeationFallProbabilitySetting,Probability of falling to death,転落死の確率,摔死概率
SuicidalIdeationWinText,Try to live a little longer\nSuicidal person,もう少し生きてみようかな\n自殺願望者,人生不过如此\n再见这个世界...
SuicidalIdeationButtonName,Time to suicide,自殺まで,自杀倒计时


# Other
WelcomeMessage1,Welcome to SuperNewRoles!,SuperNewRolesへようこそ！,欢迎游玩超级新职业！
WelcomeMessage2,You can play a variety of modes and different hard on any model with SuperNewRoles!,SuperNewRolesRを使用することで、様々なモードや様々な役職をどの機種でも遊べます！,您可以在超级新职业体验各种不同的模式和职业！
WelcomeMessage3,Please visit the official wiki for a detailed description of the roles and modes!,役職やモードの詳しい説明については公式wikiを御覧ください！,有关模式和职业的详细描述请查看官方Wiki介绍！
WelcomeMessage4,SuperNewRoles Official Wiki,SuperNewRoles公式Wiki:,超级新职业职业介绍:
WelcomeMessage5,https://wikiwiki.jp/amas-snr(Japanese),https://wikiwiki.jp/amas-snr,https://amonguscn.club（憨批官方模组下载链接非模组介绍），官方介绍:https://wikiwiki.jp/amas-snr(日文)
WelcomeMessage6,You will get the information if you run the command.,コマンドを実行して、情報を取得できます。,你可以通过输入命令来获取信息。
WelcomeMessage7,Send this command if you want to see a list of commands.,コマンド一覧を表示するにはこのコマンドを送信してください。,发送此命令以获取命令列表信息。
WelcomeMessage8,[/commands] or [/cmd],/commands 又は /cmd,/commands 或者 /cmd
CommandsMessage0,Commands in the command list:\n() are also possible.\nIt is not case sensitive.,コマンド一覧:\n()の中にあるコマンドでも可能です。\n大文字と小文字は区別されません。,命令列表:\n也可以发送()中的命令。\n不区分大小写。
CommandsMessage1,/commands (/cmd) : \nDisplays a list of commands. (This command.),/commands (/cmd) : \nコマンド一覧を表示します。(このコマンドです),/commands (/cmd) : \n显示命令列表。(当前命令)
CommandsMessage2,/version (/v) : \nShow SuperNewRoles Version.,/version (/v) ：\nバージョンを表示します。,/version (/v) ： \n显示模组版本号。
CommandsMessage3,/discord (/dc) : \nShow the link to the Official Discord.,/discord (/dc) ：\n公式Discordへのリンクを表示します。,/discord (/dc) ： \n显示指向官方的Discord的链接。
CommandsMessage4,/twitter (/tw) : \nShow the link to the Official Twitter.,/twitter (/tw) ：\n公式Twitterと開発状況Twitterへのリンクを表示します。,/twitter (/tw) ： \n显示指向官方Twitter和开发状态Twitter的链接。
CommandsMessage5,/GetInRoles (/gr) ： Displays all activate roles.(Send to all player when you're hosts.),/GetInRoles (/gr) ： \n入っているすべての役職を表示します。(ホストの場合は全員に送信します),/GetInRoles (/gr) ： \n显示所有激活的职业。(如果你是主持人将推送给房间内所有玩家)
CommandsMessage6,/GetInRoles myplayer ([/gr mp] or [/gr myp]) : \nDisplays all activate roles only you.(Send only to yourself even if you are the host.),/GetInRoles myplayer (/gr mp もしくは /gr myp) ： \n入っているすべての役職を表示します。(ホストでも自分のみに送信します),/GetInRoles myplayer (/gr mp 或者 /gr myp) ： \n显示所有激活的职业，仅自己可见。
CommandsMessage7,/AllRoles (/ar) : \nDisplays all activate roles' description and settings.(Send to all player when you're hosts.)\nTransmitted at 1.5 second intervals.,/AllRoles (/ar) ： \n入っている全役職の説明と設定が確認できます。\n(ホストが実行すると全員に送信します)\n1.5秒間隔で送信されます。,/AllRoles (/ar) ： \n显示所有激活职业的职业描述和设置。\n(如果你是主持人将推送给房间内所有玩家)\n每1.5秒发送一个。
CommandsMessage8,/AllRoles [transmission interval] (/ar [transmission interval]): \nAdditional transmission intervals can be specified for /AllRoles.,/AllRoles [送信間隔] (/ar [送信間隔]) ： \n/AllRolesに+で送信間隔を指定できます。,/AllRoles [发送间隔] (/ar [发送间隔]) ： \n你可以在/AllRoles后添加指定发送间隔时间
CommandsMessage9,/AllRoles [send interval] myplayer (/ar [send interval] (mp or myp)): \nAdd to /AllRoles [send interval] and send only to yourself even if you are the host.,/AllRoles [送信間隔] myplayer (/ar [送信間隔] (mp もしくは myp)) ： \n/AllRoles [送信間隔]に+で、ホストでも自分のみに送信されます。,/AllRoles [发送间隔] myplayer (/ar [发送间隔] (mp 或者 myp)) ： \n你可以在/AllRoles [发送间隔]后添加指令发送，仅自己可见。
SNROfficialDiscordMessage,Come here to visit the official SuperNewRoles Discord server.,SuperNewRoles公式Discordサーバーはこちらから:,超级新职业官方Discord服务器：
SNROfficialTwitterMessage,Come here to visit the official SuperNewRoles Twitter Accounts.,SuperNewRoles公式Twitterはこちらから,在这里关注超级新职业官方Twitter
TwitterOfficialLink,Official Account : https://twitter.com/SuperNewRoles,公式アカウント：https://twitter.com/SuperNewRoles,官方Twitter：https://twitter.com/SuperNewRoles
TwitterDevLink,Development Information Account : https://twitter.com/SNRDevs,開発情報アカウント：https://twitter.com/SNRDevs,开发状况Twitter：https://twitter.com/SNRDevs
Team,Team,陣営,阵营
MessageSettings,Settings,設定,设置
NowRolesMessage,Activate Roles,現在入っている役職,当前激活的职业
TeamMessage,【Team:{0}】,【{0}陣営】,【{0}阵营】
NameIncludeMod,You cannot make a room public contains mod in your name.,modが名前に含まれている状態では公開部屋にすることはできません。,不能在昵称里有“mod”时将房间状态设置为公开。
CannotUseRenameMessage,Cannot rename.\nThe /rename command can only be used on\navailable only when hosted.,名前を変更することができません。\n/renameコマンドは\nホスト時のみ使用可能です。,无法重命名。\n/rename命令仅房主可用。
betatext1,\nThis is a beta version! Watch out for bugs!,\nベータ版です! バグには注意してください!,这是测试版本。请注意是否有bug。
betatext2,\n~Information for developers~,\n～開発者用の情報～,\n~开发者信息~

# Agartha
Agartha_WareHouse,WareHouse,倉庫,仓库
Agartha_ToolRoom,ToolRoom,工具室,工具室
Agartha_WorkRoom,WorkRoom,仕事場,工坊
AgarthaName,Agartha,アガルタ,雅各泰
